,word,cnt,pos
0,love,92,noun
1,言葉,47,noun
2,世界,36,noun
3,face,36,noun
4,願い,32,noun
5,feel,31,noun
6,read,29,noun
7,想い,26,noun
8,baby,25,noun
9,季節,24,noun
10,heart,24,noun
11,crazy,24,noun
12,そば,22,noun
13,記憶,21,noun
14,大丈夫,20,noun
15,遠く,19,noun
16,思い出,19,noun
17,ひとつ,18,noun
18,いま,18,noun
19,意味,18,noun
20,不安,18,noun
21,好き,18,noun
22,day,18,noun
23,痛み,17,noun
24,景色,17,noun
25,すべて,17,noun
26,たち,17,noun
27,笑顔,17,noun
28,good,16,noun
29,祈り,16,noun
30,lie,15,noun
31,step,14,noun
32,場所,14,noun
33,永遠,14,noun
34,孤独,14,noun
35,未来,14,noun
36,time,14,noun
37,全て,13,noun
38,はず,13,noun
39,girl,13,noun
40,ill,12,noun
41,奇跡,12,noun
42,ぬくもり,12,noun
43,夜空,12,noun
44,悲しみ,12,noun
45,wanna,12,noun
46,yeah,12,noun
47,change,12,noun
48,答え,12,noun
49,セプテンバー,12,noun
50,twinkle,12,noun
51,long,12,noun
52,dan,12,noun
53,breaking,12,noun
54,mah,12,noun
55,鼓動,11,noun
56,昨日,11,noun
57,確か,11,noun
58,fool,11,noun
59,star,11,noun
60,自分,11,noun
61,気持ち,11,noun
62,days,11,noun
63,calendar,11,noun
64,最後,11,noun
65,lose,11,noun
66,手のひら,10,noun
67,帰り道,10,noun
68,僕ら,10,noun
69,lost,10,noun
70,dance,10,noun
71,どれ,10,noun
72,とき,10,noun
73,星屑,10,noun
74,ive,10,noun
75,poker,10,noun
76,ppppoker,10,noun
77,pppoker,10,noun
78,stay,9,noun
79,dream,9,noun
80,cool,9,noun
81,星座,9,noun
82,hear,9,noun
83,leave,9,noun
84,loves,9,noun
85,花びら,9,noun
86,break,9,noun
87,ホント,9,noun
88,hard,9,noun
89,la,8,noun
90,向こう,8,noun
91,わたし,8,noun
92,sound,8,noun
93,みたい,8,noun
94,sleep,8,noun
95,眠り,8,noun
96,hand,8,noun
97,キミ,8,noun
98,ひとり,8,noun
99,eyes,8,noun
100,理由,8,noun
101,時間,8,noun
102,cama,8,noun
103,dust,8,noun
104,だらけ,7,noun
105,曖昧,7,noun
106,魔法,7,noun
107,night,7,noun
108,太陽,7,noun
109,song,7,noun
110,今夜,7,noun
111,みんな,7,noun
112,あと,7,noun
113,future,7,noun
114,darlin,7,noun
115,全部,7,noun
116,約束,7,noun
117,暗闇,7,noun
118,教室,7,noun
119,過去,7,noun
120,stars,7,noun
121,rhythm,7,noun
122,soul,7,noun
123,届け,7,noun
124,ただ,7,noun
125,綺麗,6,noun
126,花束,6,noun
127,sweet,6,noun
128,fear,6,noun
129,右手,6,noun
130,名前,6,noun
131,真夜中,6,noun
132,灯り,6,noun
133,moment,6,noun
134,deep,6,noun
135,beat,6,noun
136,eternal,6,noun
137,hold,6,noun
138,year,6,noun
139,hoping,6,noun
140,care,6,noun
141,fall,6,noun
142,bit,6,noun
143,なか,6,noun
144,ひかり,6,noun
145,子供,6,noun
146,ぼく,6,noun
147,ふたり,6,noun
148,午後,6,noun
149,ground,6,noun
150,duvi,6,noun
151,dudan,6,noun
152,flame,6,noun
153,ふり,5,noun
154,きり,5,noun
155,出会い,5,noun
156,地球,5,noun
157,気まぐれ,5,noun
158,ふたつ,5,noun
159,果て,5,noun
160,true,5,noun
161,日差し,5,noun
162,くせ,5,noun
163,幸せ,5,noun
164,静か,5,noun
165,わがまま,5,noun
166,彷徨,5,noun
167,一番,5,noun
168,背中,5,noun
169,世界中,5,noun
170,ママ,5,noun
171,truth,5,noun
172,touch,5,noun
173,knew,5,noun
174,大人,5,noun
175,通り,5,noun
176,夜明け,5,noun
177,sun,5,noun
178,feels,5,noun
179,sunny,5,noun
180,flying,5,noun
181,reason,5,noun
182,臆病,5,noun
183,calling,5,noun
184,ready,5,noun
185,神様,5,noun
186,囁き,5,noun
187,shine,5,noun
188,sing,5,noun
189,pray,5,noun
190,higher,5,noun
191,word,5,noun
192,singing,5,noun
193,sword,5,noun
194,wait,5,noun
195,bad,5,noun
196,sweetest,5,noun
197,wall,5,noun
198,無力,5,noun
199,goodbye,4,noun
200,life,4,noun
201,さよなら,4,noun
202,口づけ,4,noun
203,ノイズ,4,noun
204,部屋,4,noun
205,寂しげ,4,noun
206,地図,4,noun
207,dead,4,noun
208,行き場,4,noun
209,blue,4,noun
210,奇麗,4,noun
211,通り雨,4,noun
212,頼り,4,noun
213,大切,4,noun
214,everlasting,4,noun
215,不器用,4,noun
216,些細,4,noun
217,加速,4,noun
218,期待,4,noun
219,rain,4,noun
220,水面,4,noun
221,偽り,4,noun
222,秘密,4,noun
223,closer,4,noun
224,holding,4,noun
225,promise,4,noun
226,light,4,noun
227,一緒,4,noun
228,オーロラ,4,noun
229,start,4,noun
230,hearts,4,noun
231,whirl,4,noun
232,explain,4,noun
233,making,4,noun
234,stand,4,noun
235,wont,4,noun
236,starts,4,noun
237,街灯,4,noun
238,大事,4,noun
239,置き去り,4,noun
240,starting,4,noun
241,くし,4,noun
242,rainbows,4,noun
243,tonight,4,noun
244,ノート,4,noun
245,うた,4,noun
246,gimme,4,noun
247,minutes,4,noun
248,boring,4,noun
249,ache,4,noun
250,black,4,noun
251,mirror,4,noun
252,理想,4,noun
253,地上,4,noun
254,king,4,noun
255,後ろ,4,noun
256,はじめ,4,noun
257,羽根,4,noun
258,飛魚,4,noun
259,アーチ,4,noun
260,宝島,4,noun
261,high,4,noun
262,感情,4,noun
263,弱音,4,noun
264,endless,4,noun
265,needing,4,noun
266,dreamt,4,noun
267,大好き,4,noun
268,brave,4,noun
269,precious,4,noun
270,ya,4,noun
271,ooh,4,noun
272,ohhhh,4,noun
273,ohhoheohhohoh,4,noun
274,hot,4,noun
275,彼方,4,noun
276,ash,4,noun
277,youve,3,noun
278,happiness,3,noun
279,かなしみ,3,noun
280,仕草,3,noun
281,つもり,3,noun
282,ところ,3,noun
283,feeling,3,noun
284,月日,3,noun
285,宇宙,3,noun
286,waiting,3,noun
287,朝日,3,noun
288,シャツ,3,noun
289,素敵,3,noun
290,insane,3,noun
291,視界,3,noun
292,turning,3,noun
293,louder,3,noun
294,セリフ,3,noun
295,飽き,3,noun
296,melody,3,noun
297,木陰,3,noun
298,泣き虫,3,noun
299,五月,3,noun
300,想い出,3,noun
301,吐息,3,noun
302,越し,3,noun
303,snow,3,noun
304,bright,3,noun
305,鮮やか,3,noun
306,ダンス,3,noun
307,単純,3,noun
308,今更,3,noun
309,手前,3,noun
310,コト,3,noun
311,香り,3,noun
312,沈黙,3,noun
313,流れ,3,noun
314,互い,3,noun
315,におい,3,noun
316,dark,3,noun
317,breathe,3,noun
318,losing,3,noun
319,connection,3,noun
320,fade,3,noun
321,heartbeat,3,noun
322,sky,3,noun
323,ギター,3,noun
324,響き,3,noun
325,お似合い,3,noun
326,今宵,3,noun
327,march,3,noun
328,いくつ,3,noun
329,刹那,3,noun
330,電話,3,noun
331,一言,3,noun
332,cuz,3,noun
333,touchs,3,noun
334,kisss,3,noun
335,standing,3,noun
336,story,3,noun
337,unfold,3,noun
338,嘘つき,3,noun
339,欠片,3,noun
340,筋書き,3,noun
341,体温,3,noun
342,始まり,3,noun
343,ポケット,3,noun
344,一つ,3,noun
345,旅人,3,noun
346,音符,3,noun
347,place,3,noun
348,何もかも,3,noun
349,自信,3,noun
350,背伸び,3,noun
351,身体,3,noun
352,tiny,3,noun
353,リアル,3,noun
354,希望,3,noun
355,flavor,3,noun
356,fallacy,3,noun
357,ゼロ,3,noun
358,夢中,3,noun
359,屋上,3,noun
360,灰色,3,noun
361,陽炎,3,noun
362,youi,3,noun
363,sunlight,3,noun
364,universe,3,noun
365,偽物,3,noun
366,weve,3,noun
367,瞬間,3,noun
368,perfect,3,noun
369,blindness,3,noun
370,alright,3,noun
371,真昼,3,noun
372,live,3,noun
373,bells,3,noun
374,ringing,3,noun
375,roman,3,noun
376,cavalry,3,noun
377,choirs,3,noun
378,shield,3,noun
379,foreign,3,noun
380,field,3,noun
381,honest,3,noun
382,ruled,3,noun
383,beleave,3,noun
384,dreaming,3,noun
385,falling,3,noun
386,せい,3,noun
387,ダイヤモンド,3,noun
388,運命,3,noun
389,アップ,3,noun
390,kissing,3,noun
391,throw,3,noun
392,泣き顔,3,noun
393,hollow,3,noun
394,sorrow,3,noun
395,hands,3,noun
396,game,3,noun
397,em,3,noun
398,fun,3,noun
399,pictures,3,noun
400,三日月,3,noun
401,easy,3,noun
402,粉雪,3,noun
403,元気,3,noun
404,夜行,3,noun
405,列車,3,noun
406,stardust,3,noun
407,破片,3,noun
408,間違い,3,noun
409,フレーズ,3,noun
410,hope,2,noun
411,kind,2,noun
412,joy,2,noun
413,小鳥,2,noun
414,雷鳴,2,noun
415,傷跡,2,noun
416,返事,2,noun
417,人波,2,noun
418,何処,2,noun
419,花弁,2,noun
420,真夏,2,noun
421,雨上がり,2,noun
422,匂い,2,noun
423,明かり,2,noun
424,メロディー,2,noun
425,度目,2,noun
426,勇気,2,noun
427,続き,2,noun
428,不確か,2,noun
429,order,2,noun
430,waste,2,noun
431,noise,2,noun
432,loops,2,noun
433,センス,2,noun
434,ほう,2,noun
435,fate,2,noun
436,sees,2,noun
437,四月,2,noun
438,雲雀,2,noun
439,切れ間,2,noun
440,足早,2,noun
441,キャンドル,2,noun
442,足跡,2,noun
443,リボン,2,noun
444,happy,2,noun
445,ヘッドライト,2,noun
446,テール,2,noun
447,ランプ,2,noun
448,floating,2,noun
449,月明かり,2,noun
450,flowing,2,noun
451,指先,2,noun
452,嫌い,2,noun
453,残像,2,noun
454,かげ,2,noun
455,あやふや,2,noun
456,シラン,2,noun
457,音色,2,noun
458,救い,2,noun
459,公園,2,noun
460,夕陽,2,noun
461,近く,2,noun
462,乗り,2,noun
463,自転車,2,noun
464,thinking,2,noun
465,voice,2,noun
466,doors,2,noun
467,running,2,noun
468,unconsciously,2,noun
469,lights,2,noun
470,colors,2,noun
471,gonna,2,noun
472,lips,2,noun
473,coming,2,noun
474,walk,2,noun
475,かすか,2,noun
476,紅色,2,noun
477,mom,2,noun
478,場面,2,noun
479,いのち,2,noun
480,ひとりひとり,2,noun
481,キズナ,2,noun
482,かけがえ,2,noun
483,夕暮れ,2,noun
484,understand,2,noun
485,aint,2,noun
486,lies,2,noun
487,colours,2,noun
488,melancholy,2,noun
489,memory,2,noun
490,fading,2,noun
491,ends,2,noun
492,苦手,2,noun
493,溜息,2,noun
494,会話,2,noun
495,明り,2,noun
496,uh,2,noun
497,勢い,2,noun
498,向かい風,2,noun
499,片隅,2,noun
500,居場所,2,noun
501,ねつ,2,noun
502,お願い,2,noun
503,空回り,2,noun
504,everytime,2,noun
505,ホーム,2,noun
506,叫び,2,noun
507,miles,2,noun
508,starringchild,2,noun
509,足音,2,noun
510,行き先,2,noun
511,coast,2,noun
512,荷物,2,noun
513,分間,2,noun
514,west,2,noun
515,eden,2,noun
516,めまい,2,noun
517,heaven,2,noun
518,sign,2,noun
519,remains,2,noun
520,power,2,noun
521,alive,2,noun
522,bout,2,noun
523,revealed,2,noun
524,smash,2,noun
525,told,2,noun
526,miseries,2,noun
527,latch,2,noun
528,vagus,2,noun
529,nerve,2,noun
530,color,2,noun
531,bloodred,2,noun
532,white,2,noun
533,frenemies,2,noun
534,隙間,2,noun
535,後悔,2,noun
536,本物,2,noun
537,排中律,2,noun
538,不可逆,2,noun
539,無情,2,noun
540,リバース,2,noun
541,wake,2,noun
542,困難,2,noun
543,dancers,2,noun
544,廃墟,2,noun
545,綿毛,2,noun
546,ことば,2,noun
547,残響,2,noun
548,潮風,2,noun
549,逆さま,2,noun
550,rule,2,noun
551,結び目,2,noun
552,別々,2,noun
553,きれい,2,noun
554,ころ,2,noun
555,お姫様,2,noun
556,diamond,2,noun
557,鼻歌,2,noun
558,たん,2,noun
559,大げさ,2,noun
560,sung,2,noun
561,tone,2,noun
562,コード,2,noun
563,勇敢,2,noun
564,瞬き,2,noun
565,pm,2,noun
566,レンズ,2,noun
567,双眼鏡,2,noun
568,方位,2,noun
569,磁針,2,noun
570,喧噪,2,noun
571,弱気,2,noun
572,両足,2,noun
573,イバラ,2,noun
574,消し,2,noun
575,remember,2,noun
576,bed,2,noun
577,dawn,2,noun
578,noir,2,noun
